iter	Passed	Remaining
400	24974	37306
401	25037	37245
402	25096	37177
403	25156	37112
404	25220	37053
405	25278	36983
406	25336	36915
407	25399	36853
408	25459	36789
409	25514	36716
410	25575	36652
411	25642	36595
412	25701	36529
413	25763	36467
414	25825	36404
415	25885	36338
416	25955	36288
417	26013	36219
418	26085	36171
419	26146	36107
420	26211	36048
421	26274	35986
422	26335	35923
423	26397	35861
424	26461	35800
425	26525	35740
426	26584	35673
427	26642	35606
428	26701	35539
429	26762	35476
430	26820	35407
431	26877	35338
432	26936	35272
433	27000	35212
434	27064	35153
435	27118	35080
436	27175	35010
437	27236	34947
438	27290	34874
439	27351	34810
440	27410	34744
441	27468	34676
442	27532	34617
443	27597	34558
444	27659	34496
445	27720	34433
446	27780	34368
447	27833	34295
448	27889	34225
449	27948	34159
450	28006	34092
451	28067	34029
452	28130	33967
453	28188	33901
454	28250	33838
455	28314	33778
456	28380	33721
457	28439	33655
458	28499	33590
459	28558	33524
460	28615	33457
461	28670	33386
462	28730	33322
463	28785	33252
464	28847	33190
465	28908	33127
466	28965	33059
467	29030	33000
468	29085	32930
469	29147	32868
470	29206	32802
471	29264	32736
472	29324	32672
473	29378	32600
474	29443	32542
475	29499	32474
476	29559	32409
477	29619	32346
478	29680	32283
479	29742	32221
480	29800	32154
481	29862	32093
482	29928	32035
483	29992	31975
484	30063	31922
485	30138	31874
486	30202	31814
487	30266	31755
488	30326	31691
489	30394	31634
490	30452	31569
491	30514	31506
492	30575	31443
493	30635	31379
494	30693	31313
495	30757	31253
496	30814	31186
497	30880	31128
498	30949	31073
499	31011	31011
500	31072	30948
501	31132	30884
502	31190	30818
503	31251	30755
504	31309	30689
505	31368	30624
506	31429	30561
507	31488	30497
508	31548	30432
509	31606	30366
510	31669	30305
511	31726	30239
512	31787	30176
513	31845	30110
514	31901	30043
515	31963	29981
516	32022	29916
517	32086	29856
518	32144	29791
519	32204	29726
520	32263	29662
521	32322	29597
522	32383	29534
523	32447	29475
524	32509	29413
525	32566	29346
526	32630	29286
527	32689	29222
528	32746	29156
529	32806	29092
530	32872	29034
531	32927	28965
532	32988	28903
533	33058	28849
534	33113	28781
535	33177	28720
536	33236	28656
537	33299	28595
538	33366	28538
539	33430	28478
540	33501	28423
541	33558	28357
542	33622	28297
543	33682	28233
544	33740	28169
545	33806	28110
546	33868	28048
547	33933	27988
548	33993	27925
549	34054	27862
550	34118	27802
551	34182	27742
552	34238	27675
553	34299	27612
554	34362	27552
555	34420	27486
556	34494	27434
557	34557	27373
558	34617	27310
559	34681	27250
560	34738	27184
561	34797	27120
562	34855	27054
563	34919	26994
564	34981	26933
565	35040	26868
566	35102	26806
567	35165	26745
568	35230	26686
569	35288	26621
570	35347	26557
571	35406	26493
572	35467	26430
573	35529	26368
574	35586	26303
575	35649	26241
576	35712	26181
577	35771	26116
578	35830	26052
579	35888	25988
580	35950	25926
581	36011	25864
582	36073	25801
583	36135	25740
584	36189	25673
585	36250	25610
586	36305	25543
587	36363	25479
588	36428	25419
589	36493	25360
590	36557	25299
591	36612	25233
592	36672	25169
593	36741	25112
594	36805	25052
595	36868	24991
596	36927	24927
597	36986	24863
598	37048	24802
599	37112	24741
600	37168	24676
601	37228	24612
602	37294	24553
603	37355	24491
604	37423	24433
605	37480	24368
606	37544	24308
607	37610	24248
608	37670	24185
609	37730	24122
610	37794	24062
611	37850	23996
612	37912	23935
613	37975	23873
614	38035	23810
615	38097	23748
616	38157	23686
617	38236	23634
618	38305	23577
619	38366	23514
620	38425	23451
621	38491	23392
622	38552	23329
623	38610	23265
624	38671	23202
625	38735	23142
626	38790	23076
627	38850	23013
628	38910	22950
629	38975	22890
630	39033	22826
631	39088	22760
632	39153	22700
633	39216	22639
634	39276	22576
635	39329	22509
636	39389	22446
637	39452	22385
638	39515	22324
639	39589	22269
640	39646	22204
641	39707	22142
642	39772	22082
643	39833	22019
644	39894	21957
645	39949	21891
646	40005	21826
647	40060	21761
648	40124	21700
649	40181	21635
650	40244	21574
651	40305	21512
652	40366	21450
653	40436	21392
654	40498	21331
655	40555	21267
656	40610	21201
657	40674	21140
658	40736	21079
659	40799	21017
660	40863	20957
661	40926	20895
662	40984	20832
663	41048	20771
664	41110	20709
665	41176	20649
666	41240	20589
667	41302	20527
668	41367	20467
669	41424	20403
670	41485	20340
671	41541	20276
672	41602	20214
673	41660	20150
674	41724	20089
