iter	RMSE
329	0.5158623775
330	0.5157201162
331	0.5155868551
332	0.5154646963
333	0.5153433511
334	0.5151743259
335	0.5150646886
336	0.5149016236
337	0.5147604174
338	0.5146352438
339	0.5145100525
340	0.5143969194
341	0.514252709
342	0.5141288135
343	0.5139890692
344	0.5139103615
345	0.5137990311
346	0.5136931468
347	0.513580216
348	0.5134699379
349	0.5133595642
350	0.5132090975
351	0.5130313496
352	0.5128830525
353	0.5127493108
354	0.5126446295
355	0.5125361978
356	0.5123548986
357	0.5121792408
358	0.512073647
359	0.5119237049
360	0.5117742264
361	0.5116411449
362	0.5115220232
363	0.5113878163
364	0.511278717
365	0.5111521904
366	0.5110100674
367	0.5108969017
368	0.5107812324
369	0.5106686912
370	0.5105410506
371	0.510459141
372	0.5103353383
373	0.5102493923
374	0.510138108
375	0.5100522336
376	0.5099420304
377	0.5098089457
378	0.5096961464
379	0.5095261263
380	0.5093893963
381	0.5092846967
382	0.5091813008
383	0.5090686303
384	0.5089458329
385	0.5088219838
386	0.5086994346
387	0.5086110021
388	0.5084308858
389	0.50832033
390	0.5082152408
391	0.5081107125
392	0.5080370049
393	0.5079145806
394	0.5078028368
395	0.5077018555
396	0.5075438132
397	0.5074507979
398	0.5073262799
399	0.5072251252
400	0.5071175635
401	0.5070005205
402	0.5068955041
403	0.5067495205
404	0.5066535702
405	0.5065568843
406	0.5064792982
407	0.5063766971
408	0.5062811247
409	0.5061920805
410	0.5060680037
411	0.5059627903
412	0.5058828198
413	0.5057673398
414	0.5056432945
415	0.5055720952
416	0.5054403738
417	0.5053523703
418	0.5052483419
419	0.5051561324
420	0.5050208491
421	0.5049393259
422	0.504861254
423	0.5047537631
424	0.5046466118
425	0.5045510739
426	0.5044255082
427	0.5043369003
428	0.5042348651
429	0.5041222323
430	0.5040310055
431	0.5039506912
432	0.5038458681
433	0.5037396506
434	0.5036427307
435	0.50355708
436	0.5034659169
437	0.503386653
438	0.5033051182
439	0.5032102535
440	0.503138332
441	0.5030305203
442	0.5029141592
443	0.5028216206
444	0.5027218123
445	0.5026494339
446	0.5025717382
447	0.5025002651
448	0.5024143983
449	0.5023550233
450	0.5022748231
451	0.5021993914
452	0.502107355
453	0.5020049579
454	0.5019214671
455	0.5018196723
456	0.5017174174
457	0.5016613547
458	0.5015511225
459	0.5014730499
460	0.5014056245
461	0.501336414
462	0.5012557086
463	0.5011787017
464	0.5011051083
465	0.5010161398
466	0.5009183069
467	0.5008282463
468	0.5007574306
469	0.5006781023
470	0.5005837909
471	0.5005069306
472	0.500420563
473	0.500339028
474	0.5002591685
475	0.5002063497
476	0.5001311065
477	0.5000461062
478	0.4999627415
479	0.4998710414
480	0.4997793641
481	0.4997254933
482	0.4996415219
483	0.4995720606
484	0.4994926063
485	0.4993834364
486	0.4992972535
487	0.4992296503
488	0.4991830822
489	0.4990932171
490	0.4990226743
491	0.4989586093
492	0.4988585028
493	0.4987831231
494	0.4987178813
495	0.4986038846
496	0.4985287768
497	0.4984419118
498	0.4983405225
499	0.4982781738
500	0.4982150852
501	0.4981566585
502	0.49809323
503	0.4980060324
504	0.4979403018
505	0.4978750524
506	0.4978009542
507	0.4977383706
508	0.4976617141
509	0.4976034283
510	0.4975227557
511	0.4974533574
512	0.4973806758
513	0.4973143402
514	0.4972621242
515	0.4971651635
516	0.4970955013
517	0.4970085514
518	0.4969464755
519	0.4968793043
520	0.496814953
521	0.4967495727
522	0.4966775176
523	0.4965849896
524	0.4965130512
525	0.4964697502
526	0.496384915
527	0.4962989117
528	0.4962389375
529	0.4961730036
530	0.4960935984
531	0.4960292961
532	0.4959623001
533	0.4958627323
534	0.4958064122
535	0.4957350168
536	0.4956795768
537	0.495593017
538	0.4955195754
539	0.4954543922
540	0.4953777671
541	0.4953131809
542	0.4952539369
543	0.495201035
544	0.4950931336
545	0.4950054227
546	0.4949388491
547	0.4948799717
548	0.4948175506
549	0.4947627123
550	0.4946913003
551	0.4946172892
552	0.4945691429
553	0.4945050792
554	0.4944359818
555	0.4943771822
556	0.4942965423
557	0.4942302278
558	0.494156577
559	0.4940896977
560	0.4940293244
561	0.4939548238
562	0.4938909201
563	0.4938267393
564	0.4937704449
565	0.4937052645
566	0.493648766
567	0.4935860625
568	0.4935303287
569	0.493456677
570	0.4933951053
571	0.4933286577
572	0.493277006
573	0.4932282135
574	0.493150464
575	0.4930991426
576	0.4930367376
577	0.4929760262
578	0.4929095363
579	0.4928651819
580	0.4928109527
581	0.492760728
582	0.4926901109
583	0.4926205913
584	0.4925832022
585	0.4925366651
586	0.4924854802
587	0.4924229541
588	0.492350967
589	0.4922976649
590	0.4922403878
591	0.4921876185
592	0.4921368511
593	0.4920547268
594	0.4919669756
595	0.4918991619
596	0.4918398341
597	0.4917911307
598	0.4917146645
599	0.4916558667
600	0.4916160405
601	0.4915641933
602	0.4915024593
603	0.4914517003
604	0.4913959943
605	0.4913486524
606	0.4912664095
607	0.4912077061
608	0.4911591908
609	0.4911050923
610	0.4910482343
611	0.4910053552
612	0.4909501163
613	0.4908849143
614	0.4908362332
615	0.4907883139
616	0.490729491
617	0.4906437957
618	0.490605847
619	0.4905682546
620	0.4905167736
621	0.4904605665
622	0.4904105279
623	0.4903674209
624	0.4902765936
625	0.490201962
626	0.4901629736
627	0.4901097148
628	0.4900483542
629	0.4899765825
630	0.4899316113
631	0.4898768458
632	0.4898069263
633	0.4897429301
634	0.4896963531
635	0.4896570332
636	0.4896111898
637	0.4895442712
638	0.4894935211
639	0.4893826358
640	0.4893356601
641	0.4892903419
642	0.4892234683
643	0.4891672752
644	0.4891251726
645	0.489080868
646	0.489024567
647	0.4889829913
648	0.488923682
649	0.4888868313
650	0.4888240761
651	0.4887759264
652	0.4887267675
653	0.4886610631
654	0.4886084781
655	0.4885551077
656	0.4885001151
657	0.4884511961
658	0.4884057505
659	0.4883484108
660	0.4882921511
661	0.4882244669
662	0.4881804895
663	0.4881181633
664	0.4880703687
665	0.4880265937
666	0.4879724837
667	0.4879127619
668	0.4878770446
669	0.4878129442
670	0.4877675025
671	0.4877199631
672	0.4876764739
673	0.4876338708
674	0.4875808779
675	0.4875427562
676	0.4874753383
677	0.4874237662
678	0.487383886
679	0.4873450134
680	0.4872813219
681	0.4872037187
682	0.4871391791
683	0.4870962086
684	0.4870574633
685	0.4870175905
686	0.4869755888
687	0.4869258978
688	0.4868921321
689	0.4868497535
690	0.4867869258
691	0.486754495
692	0.4867162983
693	0.4866666873
694	0.4866109896
695	0.4865603557
696	0.486510538
697	0.4864709916
698	0.4864313925
699	0.486371089
700	0.4863240032
701	0.4862662477
702	0.4862326671
703	0.4861953397
704	0.4861353914
705	0.4860723221
706	0.4860262542
707	0.4859818606
708	0.4859434298
709	0.4858464758
710	0.4858075454
711	0.4857663834
712	0.4857241005
713	0.4856815975
714	0.4856070885
715	0.4855413625
716	0.4854902925
717	0.4854552056
718	0.4854064163
719	0.4853647006
720	0.485328359
721	0.4852908026
722	0.4852370905
723	0.4851988097
724	0.4851408993
725	0.4851064782
726	0.4850663243
727	0.4850077861
728	0.4849557113
729	0.4848830169
730	0.4848405979
731	0.4848015645
732	0.484762128
733	0.4847185127
734	0.4846765786
735	0.4846336009
736	0.4845926506
737	0.4845510776
738	0.48451162
739	0.4844615165
740	0.4844252693
741	0.4843823404
742	0.4843347731
743	0.4842809812
744	0.4842329484
745	0.4841883949
746	0.4841466274
747	0.4841054066
748	0.4840586293
749	0.4840129131
750	0.4839779965
751	0.4839281304
752	0.4838746399
753	0.4838138754
754	0.4837618532
755	0.4837070609
756	0.4836735476
757	0.4836285159
758	0.4835815973
759	0.4835442766
760	0.4835013161
761	0.4834736794
762	0.4834252641
763	0.4833883295
764	0.4833481672
765	0.4833215421
766	0.4832872739
767	0.4832479141
768	0.483212869
769	0.4831803676
770	0.4831197539
771	0.4830731546
772	0.4830357079
773	0.4829990381
774	0.4829598357
775	0.482919745
776	0.4828804968
777	0.4828356751
778	0.4827832682
779	0.4827488242
780	0.482707162
781	0.4826767842
782	0.4826383538
783	0.4826047498
784	0.4825452477
785	0.4824778957
786	0.482434671
787	0.4823949482
788	0.4823576553
789	0.4823174314
790	0.4822729659
791	0.4822357819
792	0.4821997908
793	0.4821564994
794	0.4821161608
795	0.4820595777
796	0.4820268362
797	0.481979735
798	0.4819411483
799	0.4819073975
800	0.4818656472
801	0.4818229969
802	0.4817889642
803	0.4817302219
804	0.4816959906
805	0.4816727128
806	0.4816429478
807	0.4815952125
808	0.4815464096
809	0.4815131909
810	0.48147543
811	0.4814423007
812	0.4814134703
813	0.4813668714
814	0.4813366326
815	0.4813015621
816	0.4812641674
817	0.4812198821
818	0.4811949489
819	0.4811571091
820	0.4811191119
821	0.4810836174
822	0.4810492863
823	0.4810197547
824	0.4809912571
825	0.4809500195
826	0.4809206059
827	0.4808938899
828	0.4808479686
829	0.480802911
830	0.4807746195
831	0.4807375601
832	0.4806994267
833	0.4806565021
834	0.4806269709
835	0.4805948833
836	0.4805656233
837	0.4805289917
838	0.4804912917
839	0.4804535577
840	0.4803953253
841	0.4803712615
842	0.4803342779
843	0.4803077667
844	0.4802501767
845	0.4802154534
846	0.4801644968
847	0.4801154877
848	0.4800684179
849	0.4800159952
850	0.4799865839
851	0.4799481629
852	0.4799033747
853	0.4798629924
854	0.4798349785
855	0.4797939459
856	0.4797688529
857	0.479736685
858	0.4797030168
859	0.4796689922
860	0.4796366719
861	0.4795945903
862	0.4795588787
863	0.4795171355
864	0.4794763005
865	0.4794496053
866	0.479418529
867	0.4793807538
868	0.4793509072
869	0.4793159524
870	0.4792445776
871	0.4792157693
872	0.4791860201
873	0.4791593579
874	0.4791300276
875	0.4790901039
876	0.4790518774
877	0.4789995442
878	0.4789678072
879	0.4789361314
880	0.4789126054
881	0.4788688002
882	0.4788407253
883	0.4788032255
884	0.4787722056
885	0.4787272582
886	0.4786913195
887	0.4786685648
888	0.4786301652
889	0.4786030828
890	0.4785707667
891	0.4785322835
892	0.478496274
893	0.4784728297
894	0.4784299794
895	0.4784030979
896	0.4783724692
897	0.4783430168
898	0.4783130292
899	0.4782702864
900	0.4782358713
901	0.4782074626
902	0.4781635332
903	0.4781203456
904	0.4780897814
905	0.4780606263
906	0.4780370178
907	0.4780051173
908	0.477970681
909	0.4779353904
910	0.4779070896
911	0.4778698618
912	0.4778411438
913	0.4778140501
914	0.477781691
915	0.477745171
916	0.4777184007
917	0.4776935078
918	0.4776611432
919	0.4776249554
920	0.4775995586
921	0.4775717868
922	0.4775404318
923	0.4775126859
924	0.4774838324
925	0.4774584798
926	0.4774280485
927	0.4774027236
928	0.4773721973
929	0.4773448196
930	0.4773163014
931	0.4772796814
932	0.4772435536
933	0.4772074681
934	0.4771764806
935	0.4771451059
936	0.4771157715
937	0.4770861482
938	0.4770542835
939	0.477012218
940	0.4769883658
941	0.4769586097
942	0.4769347755
943	0.4769092272
944	0.4768772977
945	0.4768519465
946	0.4768244508
947	0.4767958715
948	0.476766996
949	0.4767363414
950	0.476675071
951	0.4766446447
952	0.4766097278
953	0.4765798594
954	0.4765517722
955	0.4765211382
956	0.4764933294
957	0.4764644023
958	0.4764270485
959	0.4763987275
960	0.4763637459
961	0.4763376379
962	0.4762987102
963	0.4762651623
964	0.4762303048
965	0.4762061849
966	0.4761839656
967	0.4761562268
968	0.4761306258
969	0.4761022475
970	0.4760819936
971	0.4760580568
972	0.4760185783
973	0.4759905885
974	0.4759614057
975	0.4759320833
976	0.4759039508
977	0.475878498
978	0.4758576283
979	0.4758343862
980	0.4757993836
981	0.4757597862
982	0.4757150122
983	0.4756616596
984	0.4756241215
985	0.475580722
986	0.4755597429
987	0.4755366492
988	0.4755039504
989	0.4754801825
990	0.4754577601
991	0.475421534
992	0.4753930445
993	0.4753695963
994	0.475337973
995	0.4753145167
996	0.4752783111
997	0.4752527277
998	0.4752270708
999	0.4751966066
